Ville,Année-Modèle,Boite de vitesses,Type de carburant,Kilométrage,Marque,Modèle,Nombre de portes,Origine,Première main,Puissance fiscale,Prix
Casablanca,2018,Automatique,Essence,104999.5,Fiat,500,5.0,WW au Maroc,Oui,7,107000
Rabat,2022,Automatique,Diesel,124999.5,BMW,X5,5.0,WW au Maroc,Oui,12,590000
Marrakech,2014,Automatique,Diesel,124999.5,Jeep,Grand Cherokee,5.0,Dédouanée,Non,12,165000
Fès,2021,Manuelle,Diesel,92499.5,Renault,Clio,5.0,WW au Maroc,Oui,6,128000
Agadir,2020,Automatique,Diesel,144999.5,Skoda,Karoq,5.0,Dédouanée,Oui,6,278000
Tétouan,2019,Manuelle,Diesel,174999.5,Citroën,C3,5.0,WW au Maroc,Non,6,123000
Casablanca,2019,Manuelle,Diesel,114999.5,Citroën,Berlingo,5.0,Importée neuve,Non,6,185000
Rabat,2015,Automatique,Diesel,194999.5,Mercedes-Benz,Classe GLC,5.0,WW au Maroc,Non,9,285000
Casablanca,2018,Automatique,Diesel,124999.5,Volvo,S60,5.0,WW au Maroc,Oui,8,175000
Agadir Melloul,2011,Manuelle,Essence,194999.5,Seat,Ibiza,5.0,WW au Maroc,Non,6,72000
Salé,2017,Automatique,Diesel,154999.5,Volkswagen,Tiguan,5.0,WW au Maroc,Non,8,245000
Agadir,2008,Manuelle,Essence,7499.5,Renault,Clio,5.0,WW au Maroc,Non,7,56000
Casablanca,2022,Automatique,Hybride,97499.5,Toyota,Corolla,5.0,WW au Maroc,Oui,10,207000
Casablanca,2014,Automatique,Diesel,194999.5,BMW,Série 3,5.0,WW au Maroc,Non,8,179000
Fès,2020,Automatique,Diesel,134999.5,Audi,Q3,5.0,WW au Maroc,Oui,8,357000
Marrakech,2021,Manuelle,Diesel,97499.5,Renault,Clio,5.0,WW au Maroc,Oui,6,145000
Casablanca,2019,Automatique,Diesel,104999.5,Mazda,6,5.0,WW au Maroc,Oui,9,188000
Rabat,2025,Manuelle,Diesel,7499.5,Opel,Corsa,5.0,WW au Maroc,Oui,7,200000
Rabat,2023,Automatique,Diesel,72499.5,Kia,Carens,5.0,WW au Maroc,Oui,6,207000
Mohammedia,2022,Manuelle,Diesel,52499.5,Peugeot,Landtrek,5.0,WW au Maroc,Oui,8,180000
Meknès,2021,Manuelle,Diesel,82499.5,Peugeot,308,5.0,WW au Maroc,Oui,6,170000
Casablanca,2020,Automatique,Hybride,87499.5,Toyota,Corolla,5.0,WW au Maroc,Oui,10,198000
Casablanca,2021,Automatique,Diesel,97499.5,Renault,Koleos,5.0,WW au Maroc,Non,8,278000
Casablanca,2019,Manuelle,Diesel,114999.5,Peugeot,208,5.0,WW au Maroc,Oui,6,128000
Casablanca,2015,Manuelle,Diesel,374999.5,Ford,Focus,5.0,WW au Maroc,Oui,7,128000
Casablanca,2018,Automatique,Essence,114999.5,Mercedes-Benz,Classe CLA,5.0,WW au Maroc,Non,10,325000
Nador,2019,Automatique,Diesel,57499.5,Mercedes-Benz,Classe A,5.0,WW au Maroc,Oui,8,385000
Casablanca,2021,Manuelle,Diesel,87499.5,Dacia,Duster,5.0,WW au Maroc,Oui,6,175000
Tétouan,2023,Automatique,Diesel,72499.5,Peugeot,308,5.0,WW au Maroc,Non,6,270000
Casablanca,2024,Manuelle,Essence,2499.5,MG,MG3,5.0,WW au Maroc,Oui,8,108000
Casablanca,2023,Automatique,Electrique,47499.5,Audi,Q8,5.0,WW au Maroc,Oui,22,635000
Fès,2014,Manuelle,Diesel,184999.5,Hyundai,Santa Fe,5.0,WW au Maroc,Non,9,159000
